thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,Fixation.stopped,trial.stopped,Trials.mouse.x,Trials.mouse.y,Trials.mouse.leftButton,Trials.mouse.midButton,Trials.mouse.rightButton,Trials.mouse.time,Trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
26,0,26,[0.3460648148148148],[0.11805555555555555],[1],[0],[0],[1.435415199957788],['Target'],26,0,26,0,58.36837669974193,,5,58.351453399751335,58.36837669974193,58.36837669974193,0.012842100113630295,59.36946279974654,59.787331900093704,[0.3460648148148148],[0.11805555555555555],[1],[0],[0],[1.435415199957788],['Target'],547174,001,2024-10-09_13h57.50.784,Visual Search Task,2024.2.1post4,59.8205980670766,2024-10-09 13h58.01.474839 +0530,
27,0,27,[0.4409722222222222],[0.11689814814814815],[1],[0],[0],[1.4703222997486591],['Target'],27,0,27,0,59.8182588997297,,5,59.79944790014997,59.8182588997297,59.8182588997297,0.012036400381475687,60.8191366000101,61.27038270002231,[0.4409722222222222],[0.11689814814814815],[1],[0],[0],[1.4703222997486591],['Target'],547174,001,2024-10-09_13h57.50.784,Visual Search Task,2024.2.1post4,59.8205980670766,2024-10-09 13h58.01.474839 +0530,
28,0,28,[0.1527777777777778],[0.06365740740740741],[1],[0],[0],[1.642630800139159],['Target'],28,0,28,0,61.31794330012053,,10,61.29534499999136,61.31794330012053,61.31794330012053,0.024841800332069397,62.319286100100726,62.93840770004317,[0.1527777777777778],[0.06365740740740741],[1],[0],[0],[1.642630800139159],['Target'],547174,001,2024-10-09_13h57.50.784,Visual Search Task,2024.2.1post4,59.8205980670766,2024-10-09 13h58.01.474839 +0530,
29,0,29,[-0.1712962962962963],[-0.44328703703703703],[1],[0],[0],[5.25200970005244],['Target'],29,0,29,0,62.96753309993073,,5,62.951622900087386,62.96753309993073,62.96753309993073,0.013073300011456013,63.969447900075465,68.20410830015317,[-0.1712962962962963],[-0.44328703703703703],[1],[0],[0],[5.25200970005244],['Target'],547174,001,2024-10-09_13h57.50.784,Visual Search Task,2024.2.1post4,59.8205980670766,2024-10-09 13h58.01.474839 +0530,
30,0,30,[-0.018518518518518517],[-0.4340277777777778],[1],[0],[0],[1.6899806996807456],['Target'],30,0,30,0,68.25023610005155,,10,68.22856679977849,68.25023610005155,68.25023610005155,0.024352699983865023,69.25165760004893,69.91904720012099,[-0.018518518518518517],[-0.4340277777777778],[1],[0],[0],[1.6899806996807456],['Target'],547174,001,2024-10-09_13h57.50.784,Visual Search Task,2024.2.1post4,59.8205980670766,2024-10-09 13h58.01.474839 +0530,
31,0,31,[-0.12037037037037036],[0.22800925925925927],[1],[0],[0],[1.9546089000068605],['Target'],31,0,31,0,69.95027509983629,,5,69.93062889995053,69.95027509983629,69.95027509983629,0.01144499983638525,70.9512002998963,71.88571289973333,[-0.12037037037037036],[0.22800925925925927],[1],[0],[0],[1.9546089000068605],['Target'],547174,001,2024-10-09_13h57.50.784,Visual Search Task,2024.2.1post4,59.8205980670766,2024-10-09 13h58.01.474839 +0530,
32,0,32,[0.03935185185185185],[-0.19560185185185186],[1],[0],[0],[2.2878719000145793],['Target'],32,0,32,0,71.91657719993964,,5,71.89710550010204,71.91657719993964,71.91657719993964,0.011282200459390879,72.91793309990317,74.18545110011473,[0.03935185185185185],[-0.19560185185185186],[1],[0],[0],[2.2878719000145793],['Target'],547174,001,2024-10-09_13h57.50.784,Visual Search Task,2024.2.1post4,59.8205980670766,2024-10-09 13h58.01.474839 +0530,
33,0,33,[0.4224537037037037],[-0.24074074074074073],[1],[0],[0],[2.6410107002593577],['Target'],33,0,33,0,74.23303889995441,,10,74.21031229989603,74.23303889995441,74.23303889995441,0.02474689995869994,75.23415739974007,76.85177939990535,[0.4224537037037037],[-0.24074074074074073],[1],[0],[0],[2.6410107002593577],['Target'],547174,001,2024-10-09_13h57.50.784,Visual Search Task,2024.2.1post4,59.8205980670766,2024-10-09 13h58.01.474839 +0530,
34,0,34,[0.023148148148148147],[0.33101851851851855],[1],[0],[0],[2.686889299657196],['Target'],34,0,34,0,76.88276210008189,,5,76.8642766000703,76.88276210008189,76.88276210008189,0.01241010008379817,77.88356259977445,79.55199659988284,[0.023148148148148147],[0.33101851851851855],[1],[0],[0],[2.686889299657196],['Target'],547174,001,2024-10-09_13h57.50.784,Visual Search Task,2024.2.1post4,59.8205980670766,2024-10-09 13h58.01.474839 +0530,
35,0,35,[-0.24768518518518517],[-0.19675925925925927],[1],[0],[0],[2.5186402001418173],['Target'],35,0,35,0,79.58260669978335,,5,79.5652048997581,79.58260669978335,79.58260669978335,0.013095600064843893,80.58328650007024,82.08433349989355,[-0.24768518518518517],[-0.19675925925925927],[1],[0],[0],[2.5186402001418173],['Target'],547174,001,2024-10-09_13h57.50.784,Visual Search Task,2024.2.1post4,59.8205980670766,2024-10-09 13h58.01.474839 +0530,
